"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043408","GO:0043408","regulation of MAPK cascade","78/1276","499/13486",5.57294129988621e-06,0.000163880062347028,0.000121916146440908,"CX3CL1/CCL26/CD74/FAS/NPFFR2/PAK3/FBLN1/TP73/CEACAM1/P2RX7/ICAM1/IRAK3/IL11/NRP1/GADD45B/PYCARD/CCL24/ACTA2/MAP2K6/TRPV4/FGF1/PDGFRB/IL1A/CCL20/FN1/GBP1/TGFB3/TEK/PTK2B/IL1B/CCR7/PRMT1/LIF/APOE/ACE2/GDF15/CHI3L1/PDGFRA/AGT/GPNMB/IL6/TLR4/MYC/DUSP5/ACKR3/IGFBP3/NTRK2/GRM1/DAB2/GRAP/FZD7/IL34/ALOX15/LAPTM5/ATF3/NEK10/ZC3H12A/RET/NOD2/NPNT/LGALS9/EFNA1/ADRA1B/RASGRP1/SPHK1/GBA1/TNFAIP8L3/C1QL4/PLA2G2A/SPRED3/C5AR1/PDGFA/ITGA1/APELA/LYN/ITGB3/CD24/SEMA7A",78
"GO:0007160","GO:0007160","cell-matrix adhesion","40/1276","203/13486",5.58682030728506e-06,0.000163880062347028,0.000121916146440908,"ITGA3/CX3CL1/COL17A1/COL5A3/COL16A1/SORBS1/NRP1/JAG1/SFRP1/SERPINE1/FN1/TEK/PTK2B/PLAU/SDC4/CCR7/RIN2/POSTN/ITGA7/THSD1/ITGA11/ITGAV/FBLN5/ITGAX/THY1/MMP14/VCAM1/ITGA2/FREM1/NPNT/ITGAM/EFEMP2/EFNA5/APOD/L1CAM/ITGA1/ITGB3/MUC4/ECM2/COL3A1",40
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","27/1276","114/13486",5.72769551317036e-06,0.000167021357361104,0.000124253066365549,"CD74/PYCARD/EBI3/IL23A/HHLA2/IL1A/CDKN1A/IL1B/CD70/BST2/VAV3/IL6/TLR4/IL34/ICOSLG/VCAM1/TGFBR2/SHH/LGALS9/PDCD1LG2/HLA-E/HLA-A/HLA-A/HLA-E/HLA-DPA1/LYN/CD24",27
"GO:0032602","GO:0032602","chemokine production","20/1276","71/13486",5.79380306635407e-06,0.000167021357361104,0.000124253066365549,"NR1H4/SNAI2/CD74/IL4R/ARG2/OAS1/PYCARD/TRPV4/OAS3/IL1B/POSTN/IL6/KLF4/TLR4/IL33/MCOLN2/NOD2/LGALS9/LPL/APOD",20
"GO:0032642","GO:0032642","regulation of chemokine production","20/1276","71/13486",5.79380306635407e-06,0.000167021357361104,0.000124253066365549,"NR1H4/SNAI2/CD74/IL4R/ARG2/OAS1/PYCARD/TRPV4/OAS3/IL1B/POSTN/IL6/KLF4/TLR4/IL33/MCOLN2/NOD2/LGALS9/LPL/APOD",20
"GO:0050673","GO:0050673","epithelial cell proliferation","58/1276","339/13486",5.87262792013831e-06,0.000168326295128079,0.000125223855500092,"TNMD/DLX6/CCL26/SNAI2/PTPRN/NGFR/TP63/FAP/CEACAM1/NRP1/JAG1/PPP1R16B/FA2H/EYA1/SFRP1/DLX5/PTN/CCL24/CXCL12/BMPR1A/LIPA/FGF1/STAT1/IGFBP5/IRF6/PROX1/TNFAIP3/NR4A3/TEK/CDKN1A/EREG/ZFP36/ALDH1A2/APOE/IL6/HLX/MYC/COL8A1/IGFBP3/GPC3/CDKN2B/DAB2/FZD7/MMP14/SGPP2/SHH/NOD2/HAS2/LRG1/COL8A2/POLD4/EGR3/NOG/PTCH1/C5AR1/APELA/ITGB3/EPPK1",58
"GO:0060047","GO:0060047","heart contraction","36/1276","175/13486",5.91481182474956e-06,0.000168572137005362,0.000125406745925462,"EHD3/CELF2/PKP2/ATP2B4/SREBF1/MAP2K6/MYL2/BVES/HBEGF/EPAS1/CASQ2/FKBP1B/POPDC2/CXCR4/KCNJ2/FGF13/ACE2/AGT/ANK2/GSN/ADM/KCNE4/GPD1L/TTN/UCN/ZC3H12A/ADRA1B/TCAP/KCNE1/GJC1/CTNNA3/KCNJ12/KCND2/TRDN/APELA/YWHAE",36
"GO:0032963","GO:0032963","collagen metabolic process","21/1276","77/13486",5.97904604795781e-06,0.000169440084613313,0.000126052442700032,"MRC2/FAP/P2RX7/SMPD3/COL1A1/MYB/TGFB3/MMP19/MMP24/COL5A1/IL6/MMP7/ADAMTS14/ADAMTS3/MMP14/CREB3L1/CTSS/UCN/ITGA2/CIITA/MMP23B",21
"GO:0032615","GO:0032615","interleukin-12 production","16/1276","49/13486",6.15270048412177e-06,0.000172413104069021,0.000128264176514035,"IRAK3/ACP5/JAK3/IL23A/IRF1/CCR7/IRF5/TLR4/LAPTM5/NOD2/LGALS9/CMKLR1/TIGIT/HLA-B/HLA-B/HLA-B",16
"GO:0032655","GO:0032655","regulation of interleukin-12 production","16/1276","49/13486",6.15270048412177e-06,0.000172413104069021,0.000128264176514035,"IRAK3/ACP5/JAK3/IL23A/IRF1/CCR7/IRF5/TLR4/LAPTM5/NOD2/LGALS9/CMKLR1/TIGIT/HLA-B/HLA-B/HLA-B",16
"GO:0046651","GO:0046651","lymphocyte proliferation","40/1276","204/13486",6.32834244382623e-06,0.000176349809434624,0.000131192830195111,"CD74/TNFRSF9/ARG2/P2RX7/PYCARD/IL4I1/EBI3/DOCK8/LIPA/IL23A/HHLA2/IL1A/FKBP1B/TNFSF18/SDC4/CDKN1A/IRF1/IL1B/CD70/VAV3/GPNMB/IL6/TLR4/TNFRSF21/ICOSLG/VCAM1/TGFBR2/SHH/LGALS9/RASGRP1/IFNE/PLA2G2A/PDCD1LG2/HLA-E/HLA-A/HLA-A/HLA-E/HLA-DPA1/LYN/CD24",40
"GO:0014015","GO:0014015","positive regulation of gliogenesis","18/1276","60/13486",6.37870704904924e-06,0.000176771240652105,0.000131506347710844,"SOX8/PRKCH/NTN1/TP73/PTN/MYB/CXCR4/EGR2/MYRF/IL1B/LIF/IL6/IL33/ZNF365/IL34/SHH/SPINT1/LYN",18
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","51/1276","286/13486",6.49990477993269e-06,0.000178496116530313,0.00013278954358683,"CD74/GAB2/IL4R/PYCARD/IL4I1/EBI3/DOCK8/ZBTB16/IL23A/HHLA2/IL1A/VAMP8/NR4A3/CDKN1A/IL1B/CD70/CCR7/VAV3/IL6/HLX/TLR4/IL33/ITPKB/IL2RG/CD226/THY1/MMP14/ICOSLG/VCAM1/TGFBR2/SHH/NOD2/AXL/NFKBID/LGALS9/ITGAM/RASGRP1/EGR3/DPP4/PDCD1LG2/HLA-DMA/HLA-E/HLA-A/HLA-A/HLA-DRA/HLA-E/HLA-F/HLA-DPA1/HLA-F/LYN/CD24",51
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","32/1276","148/13486",6.51211908394086e-06,0.000178496116530313,0.00013278954358683,"CX3CL1/NR1H4/CXCL2/IRAK3/HCK/PYCARD/SERPINE1/IL1A/GBP3/TNFAIP3/IL1B/ZFP36/CD68/IRAK2/CMPK2/IL6/TLR4/GBP5/LY96/SPON2/CXCL3/CXCL5/ZC3H12A/NOD2/AXL/CXCL10/CXCL11/CXCL8/CD14/TRIB1/PDCD1LG2/LYN",32
"GO:0050870","GO:0050870","positive regulation of T cell activation","38/1276","190/13486",6.61674512422282e-06,0.000180378225777726,0.000134189710900285,"CD74/IL4R/PYCARD/IL4I1/EBI3/DOCK8/ZBTB16/IL23A/HHLA2/IL1A/IL1B/CD70/CCR7/IL6/HLX/ITPKB/IL2RG/THY1/ICOSLG/VCAM1/TGFBR2/SHH/NOD2/NFKBID/LGALS9/RASGRP1/EGR3/DPP4/PDCD1LG2/HLA-DMA/HLA-E/HLA-A/HLA-A/HLA-DRA/HLA-E/HLA-DPA1/LYN/CD24",38
"GO:0042129","GO:0042129","regulation of T cell proliferation","29/1276","128/13486",6.68703139904284e-06,0.000180454205979182,0.000134246235246411,"TNFRSF9/ARG2/PYCARD/IL4I1/EBI3/IL23A/HHLA2/IL1A/TNFSF18/SDC4/IRF1/IL1B/CD70/GPNMB/IL6/TNFRSF21/ICOSLG/VCAM1/TGFBR2/SHH/LGALS9/PLA2G2A/PDCD1LG2/HLA-E/HLA-A/HLA-A/HLA-E/HLA-DPA1/CD24",29
"GO:0002486","GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","14/1276","39/13486",6.69148371453904e-06,0.000180454205979182,0.000134246235246411,"RAET1E/RAET1G/HLA-E/HLA-C/HLA-C/HLA-A/HLA-A/HLA-C/HLA-B/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",14
"GO:0002675","GO:0002675","positive regulation of acute inflammatory response","9/1276","17/13486",7.11577484154855e-06,0.000190870195749773,0.000141995056646719,"CNR1/IL1B/C3/CCR7/IL6/OSMR/C2CD4A/HLA-E/HLA-E",9
"GO:0001823","GO:0001823","mesonephros development","22/1276","84/13486",7.42759477059393e-06,0.000198174549836698,0.000147429022742192,"SOX8/CRLF1/ARG2/WNT11/EYA1/SFRP1/TMEM59L/ZBTB16/FGF1/SDC4/PAX8/CITED1/AGT/MYC/GPC3/SHH/RET/GDNF/NPNT/NOG/ROBO2/PTCH1",22
"GO:0042060","GO:0042060","wound healing","56/1276","326/13486",7.49398885957072e-06,0.000198888085288925,0.000147959846879299,"TFPI/CX3CL1/PLAUR/MYLK/TXK/MCAM/FBLN1/FAP/CEACAM1/MYL9/TIMP1/PLAT/TFPI2/SERPINE1/HBEGF/FGF1/IL1A/FN1/TNFAIP3/PPL/CXCR4/PLAU/SDC4/CDKN1A/EREG/APOE/COL5A1/VAV3/PDGFRA/IL6/DGKB/TLR4/ENTPD1/FZD7/DGKI/F11R/ALOX15/PLPP3/ITGA2/SHH/CHMP4C/AXL/LRG1/NOG/PROS1/F8/PRKG1/SERPINA1/PDGFA/OCLN/AQP1/LYN/ITGB3/EPPK1/ANXA8/COL3A1",56
"GO:0008544","GO:0008544","epidermis development","44/1276","235/13486",7.7667826633042e-06,0.000204070257736956,0.000151815047359504,"CYP26B1/PRKCH/USH2A/LAMA3/LAMC2/NGFR/COL17A1/TP63/PTHLH/ANKRD24/JAG1/FA2H/LSR/SFRP4/COL7A1/IL1A/IGFBP5/MYCL/IRF6/PPL/CDKN1A/EREG/TGM3/ZFP36/KRT17/PLAAT4/EMP1/KRT7/SCEL/KLF4/MYO7A/ABCA12/APCDD1/CLRN1/PITX2/SHH/SPINT1/DNASE1L2/KRT86/GBA1/SLITRK6/PTCH1/LAMB3/PDGFA",44
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","34/1276","163/13486",7.77061786837294e-06,0.000204070257736956,0.000151815047359504,"CD74/TNFRSF9/ARG2/PYCARD/IL4I1/EBI3/IL23A/HHLA2/IL1A/TNFSF18/SDC4/CDKN1A/IRF1/IL1B/CD70/VAV3/GPNMB/IL6/TLR4/TNFRSF21/ICOSLG/VCAM1/TGFBR2/SHH/LGALS9/PLA2G2A/PDCD1LG2/HLA-E/HLA-A/HLA-A/HLA-E/HLA-DPA1/LYN/CD24",34
"GO:0002715","GO:0002715","regulation of natural killer cell mediated immunity","15/1276","45/13486",9.00099722108278e-06,0.000235151052400788,0.000174937144455803,"CEACAM1/CD226/RAET1E/LGALS9/RASGRP1/RAET1G/HLA-E/HLA-A/HLA-A/HLA-B/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",15
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","51/1276","290/13486",9.7218111576764e-06,0.000252666345942512,0.000187967387804542,"CX3CL1/SCN4A/ATP2B4/P2RX7/FXYD3/CAPN3/KCNK6/CEMIP/JPH1/CASQ2/FKBP1B/PTK2B/KCNJ2/KCNK15/KCNC1/FGF13/SCN2A/ANK2/KCNE4/GPD1L/KCNJ16/THY1/KCNMA1/CABP1/KCNB1/KCNF1/CTSS/KCNK5/CXCL10/CXCL11/SLN/GLRX/HAP1/KCNJ10/GPR35/KCNE1/KCNJ14/KCNJ12/KCND2/KCNH7/LRRC26/ANO9/TRDN/NLGN3/CACNA1E/SHANK3/LYN/ITGB3/YWHAE/KCND1/TCAF2",51
"GO:0046631","GO:0046631","alpha-beta T cell activation","28/1276","124/13486",1.02550135347151e-05,0.000265150246856346,0.000197254601088254,"IL4R/ARG2/RELB/EBI3/JAK3/ZBTB16/IL23A/MYB/TNFSF18/IRF1/RSAD2/IL6/HLX/ITPKB/IL2RG/TGFBR2/ZC3H12A/SHH/NFKBID/LGALS9/JUNB/CD247/HLA-E/HLA-A/HLA-A/HLA-DRA/HLA-E/TRAC",28
"GO:0001501","GO:0001501","skeletal system development","64/1276","393/13486",1.03869326077236e-05,0.00026718386646329,0.000198767482290851,"CYP26B1/DLX6/SNAI2/VCAN/CHRDL2/TP63/WNT11/PTHLH/P2RX7/TBX15/PCSK5/TIMP1/ACP5/SMPD3/EYA1/SFRP1/DLX5/SFRP4/BMPR1A/LIPA/COL1A1/MAP2K6/ZBTB16/SOX6/TRPV4/MGP/LOX/PAPPA2/TGFB3/TEK/TGFBI/RDH10/WFIKKN1/CHI3L1/GSC/TTC9/PDGFRA/RBP4/BMPR1B/COL2A1/HMGA2/LRRK1/MMP14/ADAMTS4/CBS/MSX1/PBXIP1/TGFBR2/PITX2/SHH/FREM1/LTBP3/AXIN2/HAS2/WFIKKN2/CMKLR1/SNORC/NOG/COL27A1/CCDC154/TEAD4/TGM2/COL11A2/COL3A1",64
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","26/1276","111/13486",1.0501744714959e-05,0.000268533265421422,0.00019977134767039,"CRLF1/CD74/IL11/NRP1/HPX/IL23A/HBEGF/TNFSF18/PTK2B/LIF/AGT/IL6/ENPP2/PARP9/LRRK1/IL34/PLPP3/NOD2/EFNA1/PARP14/HCLS1/EFNA5/TNFRSF18/LYN/ITGB3/PECAM1",26
"GO:0006953","GO:0006953","acute-phase response","11/1276","26/13486",1.05464619792704e-05,0.000268533265421422,0.00019977134767039,"ITIH4/IL1A/FN1/CNR1/IL1B/SAA2/IL6/A2M/F8/SERPINA3/SERPINA1",11
"GO:0030199","GO:0030199","collagen fibril organization","18/1276","62/13486",1.0616596158605e-05,0.000268953769351326,0.000200084175344257,"COL5A3/AEBP1/COL1A1/COL12A1/LOX/COL5A1/CYP1B1/LOXL4/ADAMTS14/COL2A1/ADAMTS3/EFEMP2/COL14A1/COL27A1/COLGALT2/COL11A2/COL28A1/COL3A1",18
"GO:0045089","GO:0045089","positive regulation of innate immune response","49/1276","276/13486",1.11055962647195e-05,0.000279927994290619,0.000208248287534678,"NR1H4/POLR3B/BIRC3/ALPK1/TXK/PAK3/OAS1/IRAK3/NLRP1/HCK/PYCARD/RIGI/MAP2K6/HPX/SLC15A3/OAS3/POLR3G/IFIH1/TNFAIP3/TRIM6/NMI/EREG/IRF1/RFTN1/IRAK2/RSAD2/OASL/TLR4/DDX60/PARP9/CD226/GBP5/LY96/PIK3AP1/CTSS/IFI16/RAET1E/NOD2/CD14/TMEM126A/RASGRP1/LACC1/RAET1G/HLA-E/HLA-E/HLA-F/HLA-F/LYN/IRF7",49
"GO:0001656","GO:0001656","metanephros development","19/1276","68/13486",1.12264094273719e-05,0.000280157560635311,0.000208419070018504,"SOX8/EYA1/PDGFRB/STAT1/RDH10/PAX8/CITED1/LIF/PDGFRA/MYC/GPC3/SHH/RET/GDNF/ROBO2/PTCH1/PDGFA/AQP1/ID3",19
"GO:0001913","GO:0001913","T cell mediated cytotoxicity","19/1276","68/13486",1.12264094273719e-05,0.000280157560635311,0.000208419070018504,"CEACAM1/P2RX7/IL23A/MR1/RAET1E/RAET1G/HLA-E/HLA-C/HLA-C/HLA-A/HLA-A/HLA-C/HLA-B/HLA-DRA/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",19
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","34/1276","166/13486",1.17355532741567e-05,0.000291413540708762,0.000216792789770117,"CD74/TNFRSF9/ARG2/PYCARD/IL4I1/EBI3/IL23A/HHLA2/IL1A/TNFSF18/SDC4/CDKN1A/IRF1/IL1B/CD70/VAV3/GPNMB/IL6/TLR4/TNFRSF21/ICOSLG/VCAM1/TGFBR2/SHH/LGALS9/PLA2G2A/PDCD1LG2/HLA-E/HLA-A/HLA-A/HLA-E/HLA-DPA1/LYN/CD24",34
"GO:0014009","GO:0014009","glial cell proliferation","15/1276","46/13486",1.21972676379452e-05,0.000301255814698963,0.000224114803808407,"ABCC8/CX3CL1/PRKCH/NTN1/MYB/PTK2B/IL1B/IL6/IL33/CDKN2B/LGI4/IL34/SHH/GBA1/LYN",15
"GO:0050729","GO:0050729","positive regulation of inflammatory response","24/1276","99/13486",1.22520307413454e-05,0.000301255814698963,0.000224114803808407,"CX3CL1/NLRP1/PYCARD/CCL24/SERPINE1/IL23A/TRPV4/CNR1/VAMP8/TNFSF18/NMI/IL1B/C3/CCR7/AGT/IL6/TLR4/IL33/OSMR/LPL/PLA2G2A/C2CD4A/HLA-E/HLA-E",24
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","26/1276","112/13486",1.24655864748087e-05,0.000301971627582734,0.000224647322206999,"PROM1/PRKCH/TP63/TP73/CEACAM1/JAG1/SERPINE1/SFRP4/IL1A/STAT1/MYCL/IL1B/PAX8/ZFP36/LIF/PLAAT4/ABCA12/CDKN2B/F11R/TMEM100/GDNF/APOLD1/PTCH1/SPRED3/S1PR3/CD24",26
"GO:0030195","GO:0030195","negative regulation of blood coagulation","12/1276","31/13486",1.25078089388495e-05,0.000301971627582734,0.000224647322206999,"TFPI/PLAUR/FAP/CEACAM1/PLAT/SERPINE1/PLAU/APOE/PDGFRA/PROS1/PRKG1/PDGFA",12
"GO:0010721","GO:0010721","negative regulation of cell development","41/1276","217/13486",1.25165499866777e-05,0.000301971627582734,0.000224647322206999,"TMEM176A/ABCC8/SEMA3B/SNAI2/CD74/NTN1/IL4R/BRINP1/CEACAM1/PTHLH/NRP1/SFRP1/JAK3/PTN/BMPR1A/NR2E1/IL1A/PROX1/TNFSF18/TNFAIP6/IRF1/IL1B/FGL2/FGF13/IL6/HLX/TLR4/MYC/CDKN2B/TBX6/THY1/DRAXIN/ZC3H12A/SHH/ID4/TRIB1/ERFE/NOG/S1PR3/LYN/SEMA7A",41
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","17/1276","57/13486",1.25219494691405e-05,0.000301971627582734,0.000224647322206999,"CD74/ERAP2/RAET1E/RAET1G/HLA-E/HLA-C/HLA-C/HLA-A/HLA-A/HLA-C/HLA-B/HLA-DRA/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",17
"GO:0007423","GO:0007423","sensory organ development","69/1276","436/13486",1.27227432252857e-05,0.000305237750775249,0.000227077106207138,"CYP26B1/SOX8/DLX6/PROM1/USH2A/ATP2B4/NTN1/DCX/ACHE/ANKRD24/NRP1/VSX1/JAG1/EYA1/DLX5/TSPAN12/CRYAB/NR2E1/PDGFRB/ATP6V1B1/MYCL/PROX1/TGFB3/RDH10/NEUROD4/SDC4/PAX8/BFSP1/ALDH1A2/COL5A1/GSC/PDGFRA/KLF4/MYO7A/CYP1B1/RBP4/BMPR1B/COL2A1/CYP1A1/COL8A1/NTRK2/CRB2/THY1/NEUROD1/MSX1/TGFBR2/CLRN1/PITX2/SHH/CTHRC1/FAT3/GJB2/RET/KCNK3/COL8A2/TCAP/ZHX2/RP1L1/NOG/SLITRK6/NHS/SPRED3/POU3F4/RORB/C1QTNF5/AQP1/MEGF11/CLN8/STRA6",69
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","45/1276","247/13486",1.27790924367628e-05,0.000305237750775249,0.000227077106207138,"CX3CL1/SELE/PLAUR/CD74/IL4R/PYCARD/IL4I1/EBI3/DOCK8/ZBTB16/IL23A/HHLA2/IL1A/NR4A3/IL1B/CD70/CCR7/IL6/HLX/ITPKB/IL2RG/THY1/F11R/ICOSLG/PLPP3/VCAM1/TGFBR2/SHH/NOD2/NFKBID/LGALS9/HAS2/RASGRP1/EGR3/DPP4/PDCD1LG2/HLA-DMA/HLA-E/HLA-A/HLA-A/HLA-DRA/HLA-E/HLA-DPA1/LYN/CD24",45
"GO:0002476","GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","14/1276","41/13486",1.30453296827706e-05,0.000305775333520934,0.00022747703293287,"RAET1E/RAET1G/HLA-E/HLA-C/HLA-C/HLA-A/HLA-A/HLA-C/HLA-B/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",14
"GO:0002484","GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","14/1276","41/13486",1.30453296827706e-05,0.000305775333520934,0.00022747703293287,"RAET1E/RAET1G/HLA-E/HLA-C/HLA-C/HLA-A/HLA-A/HLA-C/HLA-B/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",14
"GO:0048662","GO:0048662","negative regulation of smooth muscle cell proliferation","14/1276","41/13486",1.30453296827706e-05,0.000305775333520934,0.00022747703293287,"IGFBP5/TNFAIP3/TGFB3/CDKN1A/APOE/ACE2/IGFBP3/PTGIR/NPR1/EFEMP2/TRIB1/PRKG1/APOD/SOD2",14
"GO:0032943","GO:0032943","mononuclear cell proliferation","40/1276","210/13486",1.3045438870311e-05,0.000305775333520934,0.00022747703293287,"CD74/TNFRSF9/ARG2/P2RX7/PYCARD/IL4I1/EBI3/DOCK8/LIPA/IL23A/HHLA2/IL1A/FKBP1B/TNFSF18/SDC4/CDKN1A/IRF1/IL1B/CD70/VAV3/GPNMB/IL6/TLR4/TNFRSF21/ICOSLG/VCAM1/TGFBR2/SHH/LGALS9/RASGRP1/IFNE/PLA2G2A/PDCD1LG2/HLA-E/HLA-A/HLA-A/HLA-E/HLA-DPA1/LYN/CD24",40
"GO:0001894","GO:0001894","tissue homeostasis","41/1276","218/13486",1.40382581280897e-05,0.000320304266193697,0.000238285617320712,"PDK4/ABCC8/PROM1/USH2A/P2RX7/ACP5/TJP3/LSR/TSPAN12/CUBN/LIPA/CRACD/TNFAIP3/PTK2B/NT5E/LCA5/IL6/TLR4/RBP4/COL2A1/CRB2/ESAM/LRRK1/F11R/PIGR/NEUROD1/CLRN1/NOD2/LTBP3/RAC3/MUC13/RP1L1/SERPINA3/CCDC154/OCLN/ABCA4/ITGB3/PECAM1/MUC4/CLN8/COL3A1",41
"GO:0060249","GO:0060249","anatomical structure homeostasis","41/1276","218/13486",1.40382581280897e-05,0.000320304266193697,0.000238285617320712,"PDK4/ABCC8/PROM1/USH2A/P2RX7/ACP5/TJP3/LSR/TSPAN12/CUBN/LIPA/CRACD/TNFAIP3/PTK2B/NT5E/LCA5/IL6/TLR4/RBP4/COL2A1/CRB2/ESAM/LRRK1/F11R/PIGR/NEUROD1/CLRN1/NOD2/LTBP3/RAC3/MUC13/RP1L1/SERPINA3/CCDC154/OCLN/ABCA4/ITGB3/PECAM1/MUC4/CLN8/COL3A1",41
"GO:0032635","GO:0032635","interleukin-6 production","28/1276","126/13486",1.41099768448129e-05,0.000320304266193697,0.000238285617320712,"CX3CL1/NR1H4/CD74/P2RX7/IRAK3/PYCARD/RIGI/POU2AF1/TRPV4/IL1A/IFIH1/TNFAIP3/EREG/IL1B/IL6/TLR4/IL33/SPON2/UCN/ZC3H12A/NOD2/LGALS9/AFAP1L2/LPL/GBA1/HLA-B/HLA-B/HLA-B",28
"GO:0032675","GO:0032675","regulation of interleukin-6 production","28/1276","126/13486",1.41099768448129e-05,0.000320304266193697,0.000238285617320712,"CX3CL1/NR1H4/CD74/P2RX7/IRAK3/PYCARD/RIGI/POU2AF1/TRPV4/IL1A/IFIH1/TNFAIP3/EREG/IL1B/IL6/TLR4/IL33/SPON2/UCN/ZC3H12A/NOD2/LGALS9/AFAP1L2/LPL/GBA1/HLA-B/HLA-B/HLA-B",28
"GO:0001657","GO:0001657","ureteric bud development","21/1276","81/13486",1.41122892401928e-05,0.000320304266193697,0.000238285617320712,"SOX8/CRLF1/ARG2/WNT11/EYA1/SFRP1/TMEM59L/FGF1/SDC4/PAX8/CITED1/AGT/MYC/GPC3/SHH/RET/GDNF/NPNT/NOG/ROBO2/PTCH1",21
"GO:0014812","GO:0014812","muscle cell migration","21/1276","81/13486",1.41122892401928e-05,0.000320304266193697,0.000238285617320712,"NRP1/PLAT/SERPINE1/BMPR1A/PDGFRB/IGFBP5/NR4A3/PLAU/POSTN/TLR4/CYP1B1/MSTN/IGFBP3/ADAMTS1/ITGA2/HAS2/TRIB1/FOXO4/PRKG1/PDGFA/ITGB3",21
"GO:0072080","GO:0072080","nephron tubule development","21/1276","81/13486",1.41122892401928e-05,0.000320304266193697,0.000238285617320712,"SOX8/PROM1/WNT11/JAG1/EYA1/TMEM59L/FGF1/STAT1/PAX8/CITED1/LIF/AGT/MYC/GPC3/SHH/GDNF/NPNT/NOG/PTCH1/AQP1/CD24",21
"GO:0051046","GO:0051046","regulation of secretion","71/1276","454/13486",1.44130803119078e-05,0.00032565770650689,0.000242268229993899,"ABCC8/RHBDF1/BAIAP3/NR1H4/CD74/GAB2/PTPRN/SREBF1/STXBP2/IL4R/CEACAM1/CHRNA3/ACHE/P2RX7/IL11/RIMS4/SMPD3/SFRP1/CXCL12/SEPTIN4/MAP2K6/OAS2/IL1A/CNR1/MYB/SGK1/VAMP8/TGFB3/FKBP1B/SDC4/IL1B/PAX8/LIF/APOE/ANO1/SNAP25/RSAD2/DYSF/AGT/IL6/TLR4/CYP19A1/RBP4/ABCA12/EPHA5/ITPR1/GPR158/DAB2/PLA2R1/TTN/RAB11FIP1/KCNB1/NEUROD1/INHBB/UCN/GDNF/LGALS9/CPLX1/NPR1/ITGAM/SNCG/HAP1/PCSK1/EFNA5/PRKG1/PCLO/GABBR1/HLA-F/HLA-F/AQP1/LYN",71
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","16/1276","52/13486",1.44907915428189e-05,0.000325945338021434,0.000242482209201289,"IL4R/EBI3/ZBTB16/IL23A/HLX/ITPKB/IL2RG/TGFBR2/SHH/NFKBID/LGALS9/HLA-E/HLA-A/HLA-A/HLA-DRA/HLA-E",16
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","31/1276","147/13486",1.53437457495518e-05,0.000343590306606034,0.000255608922378576,"CEACAM1/P2RX7/IL4I1/HPX/IL23A/IL1R1/IL1B/C3/RSAD2/IL6/CD226/MR1/RAET1E/NOD2/LGALS9/RASGRP1/RAET1G/HLA-E/HLA-C/HLA-C/HLA-A/DENND1B/HLA-A/HLA-C/HLA-B/HLA-DRA/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",31
"GO:0046683","GO:0046683","response to organophosphorus","23/1276","94/13486",1.57239648486874e-05,0.000350539589693405,0.000260778738660102,"SREBF1/RAPGEF3/P2RX7/P2RX6/COL1A1/STAT1/IGFBP5/TEK/PTK2B/IL1B/FOSB/CITED1/VGF/NT5E/CYP1B1/CARM1/INHBB/FOS/PDE3A/KCNE1/AKR1C1/RYR3/AQP1",23
"GO:0001523","GO:0001523","retinoid metabolic process","17/1276","58/13486",1.61686137328718e-05,0.000357337909931655,0.000265836248364752,"CYP26B1/LIPA/RDH10/ALDH1A2/RDH5/BCO1/CYP1B1/RBP4/CYP1A1/PLB1/CYP2S1/CYP27C1/AKR1C1/DHRS4L2/BCO2/AKR1B10/ABCA4",17
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","25/1276","107/13486",1.61713926544031e-05,0.000357337909931655,0.000265836248364752,"STXBP2/CEACAM1/P2RX7/ICAM1/IL23A/CD226/MR1/RAET1E/LGALS9/ITGAM/RASGRP1/RAET1G/HLA-E/HLA-C/HLA-C/HLA-A/HLA-A/HLA-C/HLA-B/HLA-DRA/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",25
